"","So_thu_tu","Ten_phim","Mo_ta","Thoi_gian","The_loai","Sao","Diem_so","Binh_chon","Dao_dien","Dien_vien","Tong_doanh_thu"
"1814",1814,"Chansilineun bokdo manhji","Chan-sil, a film producer, finds herself unemployed with the sudden death of her long-time collaborated director. Out of prospects and out of luck, she moves into a bargain room in a shoddy...                See full summary »",96,"Drama",6.6,NA,436,"Cho-hee Kim","Mal-Geum Kang",NA
"1815",1815,"Öldür Beni Sevgilim","Can the excitement of the national lottery save a finished marriage? Or is it the end of that marriage? In this fun comedy, Demet and Okan will learn the answer to this question.",104,"Comedy",4.4,NA,1658,"Senol Sönmez","Murat Boz",NA
"1816",1816,"V1 Murder Case","An intelligent forensic officer starts investigating a murder, but he faces a slew of challenges as he suffers from nyctophobia. Will he be able to solve the case?",112,"Drama",7,NA,1278,"Pavel Navageethan","Dashish Daney Abraham",NA
"1817",1817,"El Taxista Caliente 3","        Add a Plot",90,"Comedy",7.9,NA,203,"Enrique Murillo","Carlos Bonavides",NA
"1818",1818,"The Cardinal","Sighet prison in communist Romania. An catholic cardinal considered a national hero is faced with an unusual torturer. There is only one way out, conversion or death.",100,"Biography",7.6,NA,1077,"Nicolae Margineanu","Mircea Andreescu",NA
"1819",1819,"Saga of Tanya the Evil Movie","Tanya Degurechaff continues her misadventures, avoiding death and being sent to hell, while battling the forces of the Republic Army.",115,"Animation",5.1,NA,204,"Yutaka Uemura","Tesshô Genda",NA
"1820",1820,"Her Deadly Reflections","A married painter and gallery owner is pushed thru a window at home. She escapes in her car but is forced off the road, waking up in hospital with amnesia. Who can she trust?",85,"Crime",6.3,NA,576,"John Lyde","Helena Mattsson",NA
"1821",1821,"Working Man","When a factory closure threatens a small Rust Belt town, one older factory worker continues going to his former job every day, despite the shutdown. His peculiar decision has a profound ...                See full summary »",109,"Drama",3.5,NA,157,"Robert Jury","Peter Gerety",NA
"1822",1822,"Bystander","A notorious serial killer is hired to kidnap the daughter of Pittsburgh's Chief of Police when he takes up the charge against human trafficking in his city.",92,"Thriller",3.6,NA,158,"Giuseppe Lucarelli","Sara Torres",NA
"1823",1823,"Trolls World","During building city of Baden-Baden in 2015, an evil troll who was transformed into stone in the 15th century, is accidentally brought back to life. To prevent being unmasked, the Troll slips into the body of Vanessa Majer and enslaves.",92,"Comedy",7,NA,2126,"Eric Dean Hordes","Eva Habermann",NA
"1824",1824,"Axone","In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors.",104,"Comedy",6.9,NA,424,"Nicholas Kharkongor","Sayani Gupta",NA
"1825",1825,"Jessie","Set in an abandoned house, the film follows a team of professional ghost hunters trying to conduct a paranormal investigation to unveil the mystery of two sisters, Jessie and Amy, where Amy shows unusual mental and physical behaviour.",106,"Horror",4.9,NA,959,"Aswani Kumar V.","Ashima Narwal",NA
"1826",1826,"Khayal Maata","A group of close friends who committed a robbery while they were young, then after 30 years they gather again to remember the causes that made them commit their crime.",125,"Comedy",4.6,NA,121,"Khalid Marie","Ahmed Helmy",NA
"1827",1827,"Thunderbird","A reclusive young fisherman goes looking for his missing sister in the rugged Pacific Northwest.",95,"Thriller",7.1,NA,49,"Nicholas Treeshin","Natalie Brown",NA
"1828",1828,"Metamorphosis","Adam was raise like a normal boy until he bled his first menstrual period. Adam was born with two genitals, an intersex who finds himself in a painful transformation that takes him into the ambiguities of fate and desires.",98,"Drama",7.2,NA,2145,"J.E. Tiglao","Gold Azeron",NA
"1829",1829,"Welad Rizk 2","Three years after the events of the first part, the four brothers try their best to keep their oath to stay away from the life of crime. As one unexpected incident takes place in their ...                See full summary »",103,"Action",3.6,NA,225,"Tarek Alarian","Ahmed Ezz",NA
"1830",1830,"Horizon","Five friends attempt to flee when a mysterious alien ship arrives in the skies over their home city. However, it soon becomes clear that they may hold the key to stopping an invasion.",93,"Adventure",4.1,NA,76,"Paul Dudbridge","Paul Tonkin",NA
"1831",1831,"Tell Me I Love You","A love story set in the electronic music industry.",78,"Comedy",6.1,NA,748,"Fiona Mackenzie","Kaniehtiio Horn",NA
"1832",1832,"Bâsudê wandârando","A girl without self-confidence meets a mysterious alchemist Hippocrates and his student Pipo who are on a mission to save the world. Together, they laid the groundwork for ""Wonderland"" and Akane is labeled as Wonderland's savior.",115,"Animation",6.2,NA,1647,"Keiichi Hara","Mayu Matsuoka",NA
"1833",1833,"Tru Tiên","After the massacre of his village, Zhang Xiaofan is taken in by the Qing Yun Sect where he begins his journey of cultivation. When he finds out the truth behind the deaths of his parents, ...                See full summary »",101,"Action",4.9,NA,60,"Siu-Tung Ching","Zhan Xiao",NA
"1834",1834,"Coiote","André lives alone in a forest region. His life is changed when he finds Coiote, a mysterious young man, asleep in his propriety. Coiote teases Andre's desires and forces him to resignify values already eroded in his life.",72,"Drama",6.4,NA,31,"Sérgio Borges","Enrique Diaz",NA
"1835",1835,"Muse","Luca Zeigler is considered to be one of the greatest artists of his generation. At the peak of his career, he is lauded, feted and collected by all. However, the side effects of his new ...                See full summary »",86,"Drama",5.8,NA,115,"Candida Brady","Alison Doody",NA
"1836",1836,"Watching","Young-Woo (Gang Ye-Won) is a career woman and a workaholic. One night, she is kidnapped by Joon-Ho (Lee Hak-Joo) in the company's parking garage. Joon-Ho works security for the building. Young-Woo struggles to escape from Joon-Ho.",97,"Horror",7.3,NA,1311,"Kim Sung-Gi","Ye-won Kang",NA
"1837",1837,"Buoyancy","14-year-old Chakra is sold as a slave labourer to the captain of a Thai fishing vessel. The captain's rule on board is cruel and arbitrary.",93,"Crime",5.4,NA,426,"Rodd Rathjen","Sarm Heng",NA
"1838",1838,"90 ML","Devadas(Kartikeya) an MBA gold medalist falls in love with Suvasana (Neha Solanki) a physiotherapist. How Devadas faced heroine and her family (Who're anti alcoholic) after they get to know...                See full summary »",159,"Action",5.7,NA,282,"Sekhar Reddy","Ajay",NA
"1839",1839,"Koridor bessmertiya","Yesterday's Leningrad schoolgirl Masha Yablochkina, after a fierce blockade winter of 1941-1942, comes to the railway courses hoping to survive and gain strength. From there, the girl is ...                See full summary »",140,"Drama",3.8,NA,157,"Fyodor Popov","Artyom Alekseev",NA
"1840",1840,"War Path","A contract killer accepts a dangerous job that goes badly wrong, putting his wife's life in danger.",85,"Action",4.2,NA,513,"Casey de Fremery","Gary Nohealii",NA
"1841",1841,"Howlers","A gunfighter from the old west returns from the grave to stop a blood thirsty werewolf motorcycle gang from terrorizing a small town.",92,"Action",5.9,NA,149,"Josh Ridgway","Sean Patrick Flanery",NA
"1842",1842,"Adan","A naive provincial girl finds a way to get ahold of her independence through the help of her girl best friend. But their actions have nerve-shattering consequences.",102,"Drama",7.4,NA,1268,"Roman Perez Jr.","Rhen Escano",NA
"1843",1843,"Parineeta","A chirpy and jovial teenager, Mehul, whose higher secondary finals are at the doorstep while her infatuation over her tutor cum neighbour Babai da, is in ascend. He is an exceptional ...                See full summary »",115,"Romance",6.1,NA,171,"Raj Chakraborty","Subhasree Ganguly",NA
"1844",1844,"Jhalle","The family wants Jhalle to find a husband. They think this will be difficult because she's so crazy, but really the crazy ones are them.",129,"Comedy",5.6,NA,99,"Amarjit Singh Saron","Binnu Dhillon",NA
"1845",1845,"Ranchlands","""Ranchlands"" is an LGBTQ drama about an urbane, yet lost gay man who returns to his estranged Christian family to care for his ailing brother - and finds romance with a queer ranch hand. ...                See full summary »",69,"Drama",8.1,NA,475,"David Lewis","Nick Molari",NA
"1846",1846,"Bhai - Vyakti Ki Valli","Biopic of Marathi comedian, India's first stand-up comedian P. L. Deshpande.",153,"Drama",7.5,NA,948,"Mahesh Manjrekar","Satish Alekar",NA
